Con,Contp,PP,PPName,Reg,AgtId,Ver,Agt,Year,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,Interim,GCh,GChRhet,GChAntid,GChSubs,GChOth,GDis,GDisRhet,GDisAntid,GDisSubs,GDisOth,GAge,GAgeRhet,GAgeAntid,GAgeSubs,GAgeOth,GMig,GMigRhet,GMigAntid,GMigSubs,GMigOth,GRa,GRaRhet,GRaAntid,GRaSubs,GRaOth,GRe,GReRhet,GReAntid,GReSubs,GReOth,GInd,GIndRhet,GIndAntid,GIndSubs,GIndOth,GOth,GOthRhet,GOthAntid,GOthSubs,GOthOth,GRef,GRefRhet,GRefSubs,GRefOth,GSoc,GSocRhet,GSocAntid,GSocSubs,GSocOth,GeWom,GeMe,GeMeNu,GeMeOth,GeLgbti,GeLgbtiPos,GeLgbtiNeg,GeFa,StGen,StCon,StSd,StRef,StSym,StInd,StUni,StBor,StXbor,Pol,PolGen,PolNewInd,PolNewTemp,Ele,ElecComm,PolPar,PolParTrans,PolParOth,Civso,Tral,Pubad,ConGen,ConRen,Cons,Polps,PpsGe,PpsGe:St,PpsGe:Sub,PpsEx,PpsEx:St,PpsEx:Sub,PpsOro,PpsOro:St,PpsOro:Sub,PpsOthPr,PpsOthPr:St,PpsOthPr:Sub,PpsVet,PpsVet:St,PpsVet:Sub,PpsAut,PpsAut:St,PpsAut:Sub,PpsInt,PpsInt:St,PpsInt:Sub,PpsOth,PpsOth:St,PpsOth:Sub,Terps,TpsSub,TpsLoc,TpsAut,TpsOth,Eps,EpsRes,EpsFis,EpsOth,Mps,MpsMe,MpsJt,MpsPro,MpsOth,HrGen,HrBor,HrTrinc,HrCp,CprLife,CprTort,CprEq,CprSlav,CprLib,CprDet,CprFmov,CprFspe,CprFass,CprTria,CprPriv,CprVote,CprReli,CprOth,HrSec,SerProp,SerWork,SerHeal,SerEdu,SerStdl,SerShel,SerSs,SerCult,SerOth,HrCit,CitGen,CitRights,CitDef,CitOth,HrDem,HrDet,Med,MedGov,MedSubs,MedLog,MedOth,HrMob,Prot,ProtCiv,ProtGrp,ProtOth,RiOth,HrNi,HrNiMe,HrNiNe,HrNiOth,HrIi,HrIiMon,HrIiBod,HrIiOth,JusCr,JusCrSp,JusCrSys,JusCrPow,JusEm,JusJu,JusPri,JusTra,Dev,DevSoc,DevHum,DevInfra,NEC,NatRes,IntFu,Bus,Tax,TaxPo,TaxRef,TaxOth,Ban,CenBan,BanPers,BanInt,BanXb,LaRef,LaRefMan,LaRefRet,LaRefOth,LaNom,LaCH,LaCHTa,LaCHIt,LaCHPro,LaCHOth,LaEn,Wat,SsrGua,Ce,CeProv,CeGen,SsrPol,SsrArm,SsrDdr,DdrDemil,DdrProg,SsrInt,SsrPsf,SsrFf,Cor,SsrCrOcr,SsrDrugs,Terr,TjGen,TjAm,TjAmPro,TjSan,TjPower,TjAmBan,TjCou,TjJaNc,TjJaIc,TjMech,TjPrire,TjVet,TjVic,TjMis,TjRep,TjRSym,TjRMa,TjNR,ImUN,ImOth,ImRef,ImPK,ImE,ImSrc
Argentina/United Kingdom,Territory,7,Argentina-UK: Falklands process,Cross-regional,431,1,"Joint Statement of Confidence-Building Measures, including an Information and Consultation System and Safety Measures for Air and Maritime Navigation",1990,15/02/1990,Multiparty signed/agreed,11,21579,Inter,SubPar,Iss,"Joint statement, not signed, agreement mentions the following parties having produced and agreed to it: [The text of the Joint Statement was agreed by the British and Argentine Delegations at Madrid on 15 February 1990 after two days of negotiation.]",,"Page 1, Introduction: 
[...] It followed the previous Joint Statement agreed by the British and Argentine Delegations at Madrid on 19 October 1989, which established the 'sovereignty umbrella' whereby the two Governments agreed to put to one side their respective sovereignty claims over the Falkland Islands, South Georgia and the South Sandwich Islands so that they could hold further talks on matters of mutual interest. [...]",ARG,GBR,160,200,346,,,202,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Papua New Guinea/(Bougainville),Government/territory,9,Bougainville: peace process,Asia and Pacific,295,1,Agreement to End Hostilities on Bougainville,1990,01/03/1990,Multiparty signed/agreed,1,1336,Intra,Pre,PreMix,"Signed: Samuel KAUONA, Commander, Bougainville Revolutionary Army;
Col Leo NUIA, OBE, Deputy Controller, Bougainville State of Emergency;","Witnessed:
John Fidelis SEMOSO;",,PNG,,910,,369,,,854,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Colombia,Government,97,Colombia I - Gaviria,Americas,168,1,"Political Agreement between the National Government, the Political Parties, M-19 and the Catholic Church as Moral and Spiritual Guardian of the ProcessSpanish: Acuerdo Político entre el Gobierno Nacional, los Partidos Políticos, el M-19, y la Iglesia Católica en Calidad de Tutora Moral y Espiritual del Proceso",1990,09/03/1990,Multiparty signed/agreed,4,7902,Intra,SubComp,FrAg,"VIRGILIO BARCO 

President of the Republic 

RAFAEL PARDO RUEDA 

Presidential Adviser 

JULIO CESAR TURBAY AYALA 

Former President of the Republic and National Director of the Colombian Liberal Party 

CARLOS PIZARRO LEONGOMEZ 

Absolute Commander of the M-19 

ANTONIO NAVARRO WOLF 

Commander of the M-19","Monsehor ALVARO FANDINO 

Representative of the Catholic Church, Moral and Spiritual guide of the Process 

Dr. LULS AYALA 

Witness, representative of the Socialist International",,COL,,100,,289,1502,,856,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
Nicaragua,Government,29,Nicaragua contra process,Americas,589,1,The Toncontin Agreement,1990,23/03/1990,Multiparty signed/agreed,3,3205,Intra,Cea,CeaMix,"President Elect Mrs Violeta Barrios de Chamorro, Nicaraguan Resistance",Most Reverend Cardinal Miguel Obando Bravo,,NIC,,93,,336,,,828,No,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,1,0,0,1,1
Guatemala,Government,45,Guatemala peace process,Americas,309,1,Basic Agreement for the Search for Peace by Political Means ('Oslo Agreement'),1990,30/03/1990,Multiparty signed/agreed,3,6508,Intra,Pre,Prin,"Delegation of the National Reconciliation Commission of Guatemala, representing the Guatemalan Government: (Signad) Jorge SERRANO ELIAS; (Signed) Mario PERMUTH; (Signid) Eduardo P. VILLATORO;
Delegation of the General Command of the Unidad Revolucionaria Nacional Guatemalteca: (Signed) Luis DECKER GUZMAN; (Signed) Francisco VILLAGRAN; (Signed) Jorge E. ROSAL;

For the delegation of the National Reconciliation Commission: (Signed) Jorge SERRANO ELIAS; (Signed) Mario PERMUTH; (Signed) Eduardo P. VILLATORO Executive Secretary of CNR;
For the delegation of the Unidad Revolucionaria Nacional Guatemalteca: (Signed) Luis BECKER GUZMAN; (Signed) Francisco VILLAGRAN M.; (Signer) Jorge E. ROSAL;","UN (observer), National Reconciliation Commission (conciliator)","Page 2, GOOD OFFICES
... In accordance with the spirit of the Esquipulas II Agreement, the National Reconciliation Commission shall take steps to facilitate and sustain the peace-seeking activities to which this Agreement refers, through its good offices and the appointment as Conciliator, by agreement with URNG, of Monsignor Rodolfo Quezada Torufio in his capacity as Chairman of the National Reconciliation Commission.
The National Reconciliation Commission and the Unidad Revolucionaria Nacional Guatemalteca agree to request the Secretary-General of the United Nations, Dr. Javier Perez de Cuellar, to observe the activities to be carried out and to act as guarantor of compliance with the agreements and commitments entered into upon signature of this document.

Page 2-3, ACTIVITIES TO BE CARRIED OUT
The two delegations agree to launch activities which will generate conditions permitting the definitive attainment of peace and the enhancement of democracy.
(c) Talks with a view to achieving a political solution of the internal armed confrontation shall be held, on a date to be established by mutual agreement between the Government of Guatemala and the Unidad Revolucionaria Nacional Guatemalteca, between representatives - with decision-making powers - of the Government of the Republic, the Guatemalan Army and the General Command of the Unidad Revolucionaria Nacional Guatemalteca. The National Reconciliation Commission shall take part in these meetings for purposes of confirmation and verification, in accordance with the functions attributed to it under the Esquipulas II Agreement.",GTM,,90,,233,1082,,809,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Costa Rica/El Salvador/Guatemala/Honduras/Nicaragua,Government,29,Nicaragua contra process,Americas,887,1,Montelimar Declaration,1990,03/04/1990,Multiparty signed/agreed,5,12717,InterIntra,Imp,ExtSub,"Oscar ARIAS SANCHEZ President of the Republic of Costa Rica
Alfredo CRISTIANI BURKARD President of the Republic of El Salvador
Vinicio CEREZO AREVALO President of the Republic of Guatemala
Rafael Leonardo CALLEJAS President of the Republic of Honduras
Daniel ORTEGA SAAVEDRA President of the Republic of Nicaragua",,,NIC,SLV,93,92,336,,,828,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
El Salvador,Government,36,El Salvador peace process,Americas,393,1,Press Communiqué Issued Following the Geneva Meeting Presided over by the Secretary General between Representatives of the Government of El Salvador and of the Frente Farabundo Martí para la Liberación nacional ('Geneva Agreement'),1990,04/04/1990,Multiparty signed/agreed,3,5046,Intra,Pre,Prin,"Representing the Government of El Salvadort: Mr. Oscar SANTAMARÍA; Ambassador Guillermo PAZ LARIN; Ambassador Ana Cristina SOL; Ambassador Carlos Ernesto MENDOZA

Representing the Frente Farabundo Marti para la Liberación Nacionalt: Commander Shafik RANDAL; Mr. Salvador SAMAYOA; Commander Ana Guadalupe MARTINEZ; Commander Roberto CANAS","UN (signatory)

In the capacity assigned to me by the United Nations Security Council in resolution 637 (1989)
(Signed) Javier PEREZ DE CUELLAR
Secretary-General of the United Nations",,SLV,,92,,316,1102,,817,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
Nicaragua,Government,29,Nicaragua contra process,Americas,215,1,Addendum to the Toncontin Agreement,1990,18/04/1990,Multiparty signed/agreed,1,1847,Intra,Pre,Proc,"President Elect, Nicaraguan Resistance",Most Reverend Cardinal Miguel Obando Bravo,,NIC,,93,,336,,,828,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Nicaragua,Government,29,Nicaragua contra process,Americas,366,1,Definitive Ceasefire Agreement between the Government of the Republic of Nicaragua and the YATAMA Atlantic Front of the Nicaraguan Resistance under the Auspices of his Eminence Miguel Cardinal Obando y Bravo,1990,18/04/1990,Multiparty signed/agreed,4,6500,Intra,Cea,Ceas,"'YATAMA' Atlantic Front of the Nicaraguan Resistance; Nicaraguan Govt General, Rep of the Elected Govt of Nicaragua",Miguel Cardinal Obando y Bravo,,NIC,,93,,336,,,828,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Nicaragua,Government,29,Nicaragua contra process,Americas,375,1,Effective and Definitive Ceasefire Agreement between the Government of Nicaragua and the Nicaraguan Resistance under the Auspices of his Eminence Miguel Cardinal Obando y Bravo,1990,18/04/1990,Multiparty signed/agreed,5,8183,Intra,Cea,Ceas,Government of Nicaragua; Nicaraguan Resistance,Under the Auspices of his Eminence Miguel Cardinal Obando y Bravo,,NIC,,93,,336,,,828,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
